PassengerId,survived,class,prefix,sex,age,sib_sp,parch,family_size,age_by_class,fare_by_class,group_size,group_type,with_children,set
1,0,3,1,0,0,1,0,2,0,1,1,0,0,train
2,1,1,2,1,2,1,0,2,1,3,1,2,0,train
3,1,3,3,1,1,0,0,1,1,2,0,1,0,train
4,1,1,2,1,2,1,0,2,1,2,1,2,0,train
5,0,3,1,0,2,0,0,1,2,2,0,0,0,train
6,0,3,1,0,1,0,0,1,1,3,0,0,0,train
7,0,1,1,0,2,0,0,1,1,2,1,0,0,train
8,0,3,4,0,0,3,1,5,0,4,2,2,1,train
9,1,3,2,1,1,0,2,3,1,3,1,2,1,train
10,1,2,2,1,0,1,0,2,0,4,1,2,1,train
11,1,3,3,1,0,1,1,3,0,4,1,1,1,train
12,1,1,3,1,2,0,0,1,1,1,0,1,0,train
13,0,3,1,0,0,0,0,1,0,2,0,0,0,train
14,0,3,1,0,2,1,5,7,2,4,2,2,1,train
15,0,3,3,1,0,0,0,1,0,2,0,1,1,train
16,1,2,2,1,2,0,0,1,1,3,0,1,0,train
17,0,3,4,0,0,4,1,6,0,4,2,2,1,train
18,1,2,3,0,1,0,0,1,0,1,0,0,0,train
19,0,3,2,1,1,1,0,2,1,4,1,2,0,train
20,1,3,2,1,0,0,0,1,0,1,0,1,0,train
21,0,2,1,0,2,0,0,1,1,3,1,0,0,train
22,1,2,1,0,2,0,0,1,1,1,0,0,0,train
23,1,3,3,1,0,0,0,1,0,2,0,1,1,train
24,1,1,1,0,1,0,0,1,0,2,0,0,0,train
25,0,3,3,1,0,3,1,5,0,4,2,2,1,train
26,1,3,2,1,2,1,5,7,2,4,2,2,1,train
27,0,3,1,0,1,0,0,1,1,1,0,0,0,train
28,0,1,1,0,0,3,2,6,0,4,2,2,0,train
29,1,3,3,1,0,0,0,1,0,2,0,1,1,train
30,0,3,1,0,1,0,0,1,1,2,0,0,0,train
31,0,1,5,0,2,0,0,1,1,1,0,0,0,train
32,1,1,2,1,1,1,0,2,0,4,1,2,0,train
33,1,3,3,1,0,0,0,1,0,1,0,1,1,train
34,0,2,1,0,2,0,0,1,1,1,0,0,0,train
35,0,1,1,0,1,1,0,2,0,3,1,2,0,train
36,0,1,1,0,2,1,0,2,1,2,1,2,0,train
37,1,3,1,0,1,0,0,1,1,1,0,0,0,train
38,0,3,1,0,0,0,0,1,0,2,0,0,0,train
39,0,3,3,1,0,2,0,3,0,4,1,2,0,train
40,1,3,3,1,0,1,0,2,0,3,1,2,1,train
41,0,3,2,1,2,1,0,2,2,3,1,1,0,train
42,0,2,2,1,1,1,0,2,0,3,1,2,0,train
43,0,3,1,0,1,0,0,1,1,2,0,0,0,train
44,1,2,3,1,0,1,2,4,0,4,1,2,1,train
45,1,3,3,1,0,0,0,1,0,2,0,1,0,train
46,0,3,1,0,1,0,0,1,1,2,0,0,0,train
47,0,3,1,0,1,1,0,2,1,4,1,2,1,train
48,1,3,5,1,0,0,0,1,0,1,0,1,0,train
49,0,3,1,0,1,2,0,3,1,4,1,0,0,train
50,0,3,2,1,0,1,0,2,0,4,1,2,0,train
51,0,3,4,0,0,4,1,6,0,4,2,2,1,train
52,0,3,1,0,0,0,0,1,0,2,0,0,0,train
53,1,1,2,1,2,1,0,2,1,3,1,2,0,train
54,1,2,2,1,1,1,0,2,0,3,1,2,0,train
55,0,1,1,0,2,0,1,2,1,3,1,2,0,train
56,1,1,1,0,2,0,0,1,1,2,0,0,0,train
57,1,2,3,1,0,0,0,1,0,1,0,1,0,train
58,0,3,1,0,1,0,0,1,1,1,0,0,0,train
59,1,2,3,1,0,1,2,4,0,4,1,2,1,train
