survived,class,sex,age,sib_sp,parch,fare,deck,cabin_number,embarked,set
0,3,0,22,1,0,7.25,NA,NA,S,train
1,1,1,38,1,0,71.2833,C,5,C,train
1,3,1,26,0,0,7.925,NA,NA,S,train
1,1,1,35,1,0,53.1,C,3,S,train
0,3,0,35,0,0,8.05,NA,NA,S,train
0,3,0,NA,0,0,8.4583,NA,NA,Q,train
0,1,0,54,0,0,51.8625,E,6,S,train
0,3,0,2,3,1,21.075,NA,NA,S,train
1,3,1,27,0,2,11.1333,NA,NA,S,train
1,2,1,14,1,0,30.0708,NA,NA,C,train
1,3,1,4,1,1,16.7,G,6,S,train
1,1,1,58,0,0,26.55,C,3,S,train
0,3,0,20,0,0,8.05,NA,NA,S,train
0,3,0,39,1,5,31.275,NA,NA,S,train
0,3,1,14,0,0,7.8542,NA,NA,S,train
1,2,1,55,0,0,16,NA,NA,S,train
0,3,0,2,4,1,29.125,NA,NA,Q,train
1,2,0,NA,0,0,13,NA,NA,S,train
0,3,1,31,1,0,18,NA,NA,S,train
1,3,1,NA,0,0,7.225,NA,NA,C,train
0,2,0,35,0,0,26,NA,NA,S,train
1,2,0,34,0,0,13,D,6,S,train
1,3,1,15,0,0,8.0292,NA,NA,Q,train
1,1,0,28,0,0,35.5,A,6,S,train
0,3,1,8,3,1,21.075,NA,NA,S,train
1,3,1,38,1,5,31.3875,NA,NA,S,train
0,3,0,NA,0,0,7.225,NA,NA,C,train
0,1,0,19,3,2,263,C,7,S,train
1,3,1,NA,0,0,7.8792,NA,NA,Q,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
0,1,0,40,0,0,27.7208,NA,NA,C,train
1,1,1,NA,1,0,146.5208,B,8,C,train
1,3,1,NA,0,0,7.75,NA,NA,Q,train
0,2,0,66,0,0,10.5,NA,NA,S,train
0,1,0,28,1,0,82.1708,NA,NA,C,train
0,1,0,42,1,0,52,NA,NA,S,train
1,3,0,NA,0,0,7.2292,NA,NA,C,train
0,3,0,21,0,0,8.05,NA,NA,S,train
0,3,1,18,2,0,18,NA,NA,S,train
1,3,1,14,1,0,11.2417,NA,NA,C,train
0,3,1,40,1,0,9.475,NA,NA,S,train
0,2,1,27,1,0,21,NA,NA,S,train
0,3,0,NA,0,0,7.8958,NA,NA,C,train
1,2,1,3,1,2,41.5792,NA,NA,C,train
1,3,1,19,0,0,7.8792,NA,NA,Q,train
0,3,0,NA,0,0,8.05,NA,NA,S,train
0,3,0,NA,1,0,15.5,NA,NA,Q,train
1,3,1,NA,0,0,7.75,NA,NA,Q,train
0,3,0,NA,2,0,21.6792,NA,NA,C,train
0,3,1,18,1,0,17.8,NA,NA,S,train
0,3,0,7,4,1,39.6875,NA,NA,S,train
0,3,0,21,0,0,7.8,NA,NA,S,train
1,1,1,49,1,0,76.7292,D,3,C,train
1,2,1,29,1,0,26,NA,NA,S,train
0,1,0,65,0,1,61.9792,B,0,C,train
1,1,0,NA,0,0,35.5,C,2,S,train
1,2,1,21,0,0,10.5,NA,NA,S,train
0,3,0,28.5,0,0,7.2292,NA,NA,C,train
1,2,1,5,1,2,27.75,NA,NA,S,train
0,3,0,11,5,2,46.9,NA,NA,S,train
0,3,0,22,0,0,7.2292,NA,NA,C,train
1,1,1,38,0,0,80,B,8,NA,train
0,1,0,45,1,0,83.475,C,3,S,train
0,3,0,4,3,2,27.9,NA,NA,S,train
0,1,0,NA,0,0,27.7208,NA,NA,C,train
1,3,0,NA,1,1,15.2458,NA,NA,C,train
1,2,1,29,0,0,10.5,F,3,S,train
0,3,0,19,0,0,8.1583,NA,NA,S,train
1,3,1,17,4,2,7.925,NA,NA,S,train
0,3,0,26,2,0,8.6625,NA,NA,S,train
